fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	coverage	leaf_size_log	prob_corte	estimulos	ganancia	iteracion_bayesiana
20221030 173743	1137	133228	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	583	1	1	1	0.1	50	0.5	FALSE	838609	0.299767087950388	0.326261695395899	0.998566799560769	11.998092366801	1.17203000022362e-06	14692	92696000	38
20221030 182425	1137	133228	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3208	1	1	1	0.1	50	0.5	FALSE	838609	0.0100053899396322	0.215718035265126	0.389541342739723	11.6503755302574	8.5487935763024e-06	14949	97302000	39
20221030 183919	1137	133228	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	599	1	1	1	0.1	50	0.5	FALSE	838609	0.0101304196157169	0.200075873971438	0.72347116771634	10.0470114592411	0.0249334445647157	14858	94604000	40
20221030 194604	1137	133228	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	5535	1	1	1	0.1	50	0.5	FALSE	838609	0.0101395923042832	0.499051471258083	0.708424229348542	7.46803858521006	0.00063295417849792	16825	95870000	41
20221030 200806	1137	133228	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	556	1	1	1	0.1	50	0.5	FALSE	838609	0.010103571603624	0.200057805923621	0.609977388679994	11.2943457771673	0.00936149113035939	16974	94932000	42
20221030 201230	1137	133228	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	187	1	1	1	0.1	50	0.5	FALSE	838609	0.0806841217948294	0.20023411386858	0.240389771590597	10.6816848576852	0.00139417786436601	15509	94982000	43
20221030 205544	1137	133228	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	4109	1	1	1	0.1	50	0.5	FALSE	838609	0.0100169778430619	0.279688364910364	0.0500206251961905	11.9969289692441	0.000174811324127151	14548	96584000	44
20221030 210254	1137	133228	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	381	1	1	1	0.1	50	0.5	FALSE	838609	0.109118093813726	0.200392755497834	0.998949682072815	11.8480708624733	4.03365540524653e-06	15583	95794000	45
20221030 211023	1137	133228	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	508	1	1	1	0.1	50	0.5	FALSE	838609	0.0826443611839294	0.7997985751006	0.0545922158063155	11.6440591039188	0.000164921426114835	15936	94768000	46
20221030 220437	1137	133228	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	4058	1	1	1	0.1	50	0.5	FALSE	838609	0.0101827480752912	0.799410947345571	0.499622502018322	8.74066389476696	0.000109323904725585	15582	95876000	47
20221030 222207	1137	133228	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2270	1	1	1	0.1	50	0.5	FALSE	838609	0.010030841212877	0.201376093499006	0.0731848998018557	8.83541605930988	0.0345858075414263	17463	93554000	48
20221030 223323	1137	133228	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	731	1	1	1	0.1	50	0.5	FALSE	838609	0.0523305143058526	0.200763428053487	0.423054416256212	11.9971342213388	3.4244135053644e-06	16488	96544000	49
20221030 223554	1137	133228	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	717	1	1	1	0.1	50	0.5	FALSE	838609	0.29935369375766	0.799425152844264	0.0502124305587402	3.37289398012418	0.0425835980394527	19598	86644000	50
20221030 225058	1137	133228	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1063	1	1	1	0.1	50	0.5	FALSE	838609	0.0106056928830306	0.200494811255818	0.604000499815684	9.25930444002318	0.0131579533573652	14552	95216000	51
20221030 230223	1137	133228	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1490	1	1	1	0.1	50	0.5	FALSE	838609	0.0100301829598431	0.658042371979217	0.0828920297208994	9.29358860286768	0.0371555052192806	15722	93676000	52
20221030 230443	1137	133228	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	502	1	1	1	0.1	50	0.5	FALSE	838609	0.299803817202773	0.799780208629322	0.0512110375528839	6.12640903906382	0.0414051019482687	17620	89480000	53
