fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	ganancia	iteracion
20220925 060855	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	142	TRUE	838609	0.0272180758708804	0.225253708746642	1383	535	8145	26830000	86
20220925 061038	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	200	TRUE	838609	0.0234838926165942	0.315007545019697	1804	580	8028	26830000	87
20220925 061156	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	129	TRUE	838609	0.0301777341184175	0.306675959772535	1722	593	7434	26100000	88
20220925 061400	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	284	TRUE	838609	0.0276744062396872	0.447165383519016	1803	741	8941	26440000	89
20220925 061559	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	184	TRUE	838609	0.0205179894350426	0.259067424511639	1232	868	7865	27070000	90
20220925 061829	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	341	TRUE	838609	0.0124465705225161	0.26081751862313	2646	140	7962	26800000	91
20220925 061944	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	148	TRUE	838609	0.0274910338421024	0.287971582214356	2558	413	8357	26650000	92
20220925 062120	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	128	TRUE	838609	0.0208562902749981	0.271542131935685	1511	671	7714	26740000	93
20220925 062339	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	212	TRUE	838609	0.0216709172529741	0.262888674875412	956	989	8225	26670000	94
20220925 062527	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	258	TRUE	838609	0.0211455731736936	0.200144874913623	1919	332	9219	26290000	95
20220925 062801	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	258	TRUE	838609	0.0173743461209416	0.659127349043243	1080	765	7918	26410000	96
20220925 063055	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	365	TRUE	838609	0.00987042862910929	0.334193044090482	3300	197	8730	26700000	97
