fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	num_threads	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	ganancia	iteracion
20221001 043128	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	153	TRUE	838609	2	0.0489241089671825	0.690392965670672	5794	67	8481	26400000	51
20221001 043303	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	137	TRUE	838609	2	0.0295859220012987	0.209764998191799	5736	36	7530	26140000	52
20221001 043419	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	185	TRUE	838609	2	0.0491901605309667	0.737064517771962	7697	32	7443	25120000	53
20221001 043833	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	469	TRUE	838609	2	0.0173411277389402	0.514908561912633	7643	83	9922	26240000	54
20221001 043916	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	59	TRUE	838609	2	0.154254752335326	0.592795093071568	5601	989	7335	26290000	55
20221001 043949	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	25	TRUE	838609	2	0.263535672321665	0.459369848935739	3942	977	8338	25330000	56
20221001 044038	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	70	TRUE	838609	2	0.116708527194729	0.598188496976876	5642	850	6650	25580000	57
20221001 044137	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	65	TRUE	838609	2	0.128484749978594	0.535907322733919	2259	723	8908	25870000	58
20221001 044214	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	34	TRUE	838609	2	0.156711441588605	0.571589261578024	5636	400	8892	25900000	59
20221001 044428	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	253	TRUE	838609	2	0.0303412723499184	0.577490986152843	7998	241	11349	26110000	60
20221001 044707	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	254	TRUE	838609	2	0.0171629968696578	0.246860600083944	6535	72	9610	25900000	61
20221001 044821	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	132	TRUE	838609	2	0.149031939168892	0.448059464203526	3433	298	7627	25950000	62
20221001 044858	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	73	TRUE	838609	2	0.156044095798377	0.825642045723801	6527	921	7802	26560000	63
20221001 044929	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	38	TRUE	838609	2	0.157890267893475	0.99719395004232	5982	954	7320	25840000	64
20221001 045014	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	105	TRUE	838609	2	0.152049823483087	0.733132438772381	6212	1020	8324	26400000	65
20221001 045056	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	95	TRUE	838609	2	0.153623102263214	0.740628382078162	7287	739	7449	25830000	66
20221001 045150	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	74	TRUE	838609	2	0.0512132363606092	0.749445453118137	5787	37	7510	25700000	67
20221001 045404	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	417	TRUE	838609	2	0.0463539821882414	0.790329595603172	5921	255	8094	26780000	68
20221001 045558	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	322	TRUE	838609	2	0.046476555873937	0.653183641512915	6022	169	7888	25910000	69
20221001 045730	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	210	TRUE	838609	2	0.0381544462935673	0.659152153073996	6355	207	10614	26140000	70
20221001 045810	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	101	TRUE	838609	2	0.278435325922272	0.85352078583315	7422	499	6278	24730000	71
20221001 045848	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	27	TRUE	838609	2	0.165317979064113	0.282397845832817	1601	198	14134	23740000	72
20221001 050012	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	228	TRUE	838609	2	0.066205757461382	0.796610898325364	6336	875	8279	26250000	73
20221001 050040	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	33	TRUE	838609	2	0.170214550142259	0.79596399998758	6340	959	8081	26320000	74
20221001 050226	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	161	TRUE	838609	2	0.0220215353300714	0.681734955806658	5520	199	7524	25760000	75
20221001 050327	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	99	TRUE	838609	2	0.0500336200882614	0.923791155132183	5298	112	7636	25770000	76
20221001 050446	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	180	TRUE	838609	2	0.0490725043024968	0.89621097318509	5884	748	8078	26010000	77
20221001 050617	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	135	TRUE	838609	2	0.0273621398219565	0.798612645059649	5028	241	8063	25880000	78
20221001 050654	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	64	TRUE	838609	2	0.137007926775487	0.804941153901609	6238	864	8045	25910000	79
20221001 050830	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	266	TRUE	838609	2	0.0572730226520095	0.811454569862611	5674	251	8105	26590000	80
20221001 050943	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	154	TRUE	838609	2	0.0498578516875424	0.785989198051335	5992	428	8097	26050000	81
20221001 051023	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	84	TRUE	838609	2	0.170533021612782	0.748812583597156	6135	988	7707	26190000	82
20221001 051200	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	258	TRUE	838609	2	0.0559146481880766	0.653685232907278	5858	269	7649	26470000	83
20221001 051234	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	51	TRUE	838609	2	0.144817762674182	0.658030681596289	6873	955	7862	25480000	84
20221001 051501	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	468	TRUE	838609	2	0.0451961353311855	0.970114192312558	5804	204	8070	26820000	85
20221001 051535	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	49	TRUE	838609	2	0.159086636268136	0.931858742056581	5788	756	7805	26230000	86
20221001 051612	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	68	TRUE	838609	2	0.162413660848203	0.779324131669772	5799	893	7872	26260000	87
20221001 051710	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	77	TRUE	838609	2	0.0464092769982098	0.860734427490994	5684	165	8054	25820000	88
20221001 051745	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	63	TRUE	838609	2	0.174654607610757	0.938483943985196	6204	946	7807	25190000	89
20221001 051956	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	412	TRUE	838609	2	0.0480973969849859	0.956915972911553	6150	255	8083	26400000	90
20221001 052130	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	264	TRUE	838609	2	0.060357425883053	0.693420304837992	5787	234	7686	26310000	91
20221001 052302	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	228	TRUE	838609	2	0.0460165403165896	0.982831063732954	5797	131	8346	26670000	92
20221001 052414	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	140	TRUE	838609	2	0.0492039284575518	0.678943698241608	5384	305	8895	26290000	93
